roald,dahl , 1916-09-13,Il libro delle storie di fantasmi, 2005,269
Stephen,king , 1947-09-21,Cujo,2014,378
Isaac, asimov, 1920-01-02,Neanche gli dei,1995,350
stephen, king,1947-09-21,misery,2014,400
Isaac, asimov, 1920-01-02,viaggio allucinante,1986,209
Isaac, asimov, 1920-01-02,sogni di robot, 2014,429
